week,TREAT,STATION,CARD,ABIPN,BURSI,C7,CMAC,CSTIG,CTRIF,CYCSP,H13,HAXY,HCONV,HGLAC,HPARN,HVAR,PQUA,CANTHARID,LAMPY,LCW,MECOP,X20SPOT,OTHER,Syrphidae,Ichneumonoidea,Chalcidoidea,Lepidoptera,Orthoptera,TRAPS
23,1,1,Old21,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,111,0,0,6
23,1,2,New21,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,119,0,0,6
23,1,3,Old21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,5,0,6
23,1,4,New21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,124,1,0,5
23,1,5,Old21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,147,0,0,6
23,2,1,Old21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,97,1,0,6
23,2,2,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,149,0,1,6
23,2,3,Old21,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,6,115,0,0,6
23,2,4,New21,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,118,2,0,6
23,2,5,Old21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,121,0,0,6
23,3,1,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106,0,0,6
23,3,2,New21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,137,0,0,6
23,3,3,Old21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,131,0,0,6
23,3,4,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,0,0,6
23,3,5,Old21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,106,0,0,6
23,4,1,Old21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,133,0,0,6
23,4,2,New21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118,0,0,6
23,4,3,Old21,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,97,0,0,6
23,4,4,New21,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,99,0,0,6
23,4,5,Old21,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,128,0,0,6
23,5,1,Old21,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,6,791,0,0,6
23,5,2,New21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,10,766,1,0,6
23,5,3,Old21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,5,545,0,0,6
23,5,4,New21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,8,598,0,0,5
23,5,5,Old21,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5,719,0,0,6
23,6,1,Old21,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,879,2,0,6
23,6,2,New21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,499,0,0,6
23,6,3,Old21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,12,788,1,0,6
23,6,4,New21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,390,0,0,6
23,6,5,Old21,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,15,552,0,0,6
23,7,1,Old21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,587,0,0,6
23,7,2,New21,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,457,0,0,6
23,7,3,Old21,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,515,0,0,6
23,7,4,New21,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,378,1,0,6
23,7,5,Old21,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,16,404,0,0,6
23,CF,1,Old21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,7,21,0,0,3
23,CF,2,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,15,51,0,0,3
23,CF,3,Old21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,10,17,0,0,3
23,CF,4,New21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,97,0,0,3
23,CF,5,Old21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,2,0,0,0,13,114,0,0,3
23,DF,1,Old21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,36,1,0,3
23,DF,2,New21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,61,1,0,3
23,DF,3,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,8,47,0,0,3
23,DF,4,New21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,24,64,2,0,3
23,DF,5,Old21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9,47,1,0,3
23,SF,1,Old21,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,23,0,0,0,3,30,0,0,3
23,SF,2,New21,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,8,110,9,0,3
23,SF,3,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,23,1,0,3
23,SF,4,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,31,4,0,3
23,SF,5,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,12,35,0,0,3
25,1,1,Old21,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,8,67,0,0,6
25,1,2,New21,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,7,81,0,0,6
25,1,3,Old21,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,1,7,85,0,0,6
25,1,4,New21,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,5,8,86,0,0,6
25,1,5,Old21,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,68,0,0,6
25,2,1,Old21,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29,0,0,6
25,2,2,New21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,28,0,0,6
25,2,3,Old21,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,6
25,2,4,New21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,0,0,6
25,2,5,Old21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33,0,0,6
25,3,1,Old21,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,3,44,1,0,6
25,3,2,New21,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,38,0,0,6
25,3,3,Old21,0,0,7,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,2,41,0,0,6
25,3,4,New21,0,0,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,41,0,0,6
25,3,5,Old21,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,52,0,0,6
25,4,1,Old21,0,0,7,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,4,82,0,0,6
25,4,2,New21,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,64,0,0,6
25,4,3,Old21,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,56,0,0,6
25,4,4,New21,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,37,0,0,6
25,4,5,Old21,0,0,6,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,8,53,0,0,6
25,5,1,Old21,0,1,3,0,0,0,0,0,2,0,0,0,2,0,2,1,10,0,0,0,0,5,509,0,0,6
25,5,2,New21,0,0,2,0,0,0,0,0,1,0,0,0,1,1,2,1,7,0,0,0,1,9,303,1,0,6
25,5,3,Old21,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,27,0,0,0,0,10,390,0,0,6
25,5,4,New21,0,0,7,0,0,0,0,0,2,0,0,0,0,2,1,0,12,0,0,0,0,7,366,0,0,6
25,5,5,Old21,0,0,6,0,0,0,0,0,2,0,0,0,2,1,2,0,22,0,0,0,0,11,387,0,0,6
25,6,1,Old21,0,0,10,1,0,0,0,0,0,0,0,0,2,1,2,1,9,1,0,0,0,1,300,0,0,6
25,6,2,New21,0,0,6,1,0,0,0,0,1,0,0,1,0,1,1,0,3,0,0,0,0,1,264,1,0,6
25,6,3,Old21,0,0,17,4,0,0,0,0,1,0,0,0,4,1,1,1,5,0,0,0,0,9,348,0,0,6
25,6,4,New21,0,0,12,4,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,7,306,0,0,6
25,6,5,Old21,0,0,5,0,0,0,0,0,1,0,0,0,1,0,1,0,7,0,0,0,0,6,337,0,0,6
25,7,1,Old21,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,4,216,0,0,6
25,7,2,New21,0,0,8,0,0,0,0,0,2,0,0,0,0,0,2,1,3,0,0,0,0,6,143,1,0,6
25,7,3,Old21,0,1,10,0,0,0,0,0,2,0,0,0,1,2,0,1,3,0,0,0,0,8,174,0,0,6
25,7,4,New21,0,0,12,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,4,167,0,0,6
25,7,5,Old21,0,0,15,0,0,0,0,0,1,0,0,1,1,1,1,0,5,0,0,0,0,8,158,0,0,6
25,CF,1,Old21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,27,0,0,3
25,CF,2,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,36,0,0,3
25,CF,3,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,32,0,0,3
25,CF,4,New21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,42,0,0,3
25,CF,5,Old21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,32,0,0,3
25,DF,1,Old21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,39,36,1,0,3
25,DF,2,New21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,7,49,0,0,3
25,DF,3,Old21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,24,48,0,0,3
25,DF,4,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,52,0,0,3
25,DF,5,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,39,0,0,3
25,SF,1,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,63,0,0,3
25,SF,2,New21,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,55,0,0,3
25,SF,3,Old21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12,58,0,0,3
25,SF,4,New21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,1,1,19,78,0,0,3
25,SF,5,Old21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,55,0,0,3
27,1,1,Old21,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,2,3,0,0,0,8,6,185,0,0,5
27,1,2,New21,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,3,5,154,1,0,5
27,1,3,Old21,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,12,189,0,0,5
27,1,4,New21,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,2,2,0,0,0,4,6,172,1,0,5
27,1,5,Old21,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,10,8,181,0,0,5
27,2,1,Old21,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,5,1,0,0,0,7,4,230,0,0,6
27,2,2,New21,0,0,6,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0,0,0,5,3,238,0,0,6
27,2,3,Old21,0,0,4,0,0,0,0,0,2,0,0,1,2,1,0,7,1,0,0,0,0,7,186,1,0,6
27,2,4,New21,0,0,9,1,0,0,0,0,4,0,0,0,1,0,0,4,1,0,0,0,8,4,202,0,0,6
27,2,5,Old21,0,0,11,0,0,0,0,0,3,0,0,0,1,0,0,2,2,0,0,0,2,3,212,0,0,6
27,3,1,Old21,0,0,4,0,0,0,0,0,5,0,0,0,4,0,0,1,1,0,0,0,7,3,132,1,0,6
27,3,2,New21,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,9,1,144,1,0,6
27,3,3,Old21,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,5,1,0,0,0,6,3,160,0,0,6
27,3,4,New21,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,9,1,159,1,0,6
27,3,5,Old21,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,4,162,0,0,6
27,4,1,Old21,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,79,1,0,6
27,4,2,New21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,101,0,0,6
27,4,3,Old21,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,86,0,0,6
27,4,4,New21,0,0,3,0,0,0,0,0,2,0,0,1,1,2,0,0,1,0,0,0,0,1,90,1,0,6
27,4,5,Old21,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,2,1,0,0,0,1,1,79,0,0,6
27,5,1,Old21,0,0,4,0,0,0,0,0,11,0,0,1,1,0,0,0,16,0,0,0,0,9,86,0,0,6
27,5,2,New21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,5,0,0,0,0,5,92,2,0,6
27,5,3,Old21,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,1,12,0,0,0,0,3,77,0,0,6
27,5,4,New21,0,0,2,0,0,0,0,0,8,0,0,1,1,1,0,2,8,0,0,0,1,5,78,0,0,6
27,5,5,Old21,0,0,2,0,0,0,0,0,9,0,0,0,0,1,0,1,16,0,0,0,0,3,106,0,0,6
27,6,1,Old21,0,0,8,0,0,0,0,0,2,0,0,5,4,1,0,7,7,0,0,0,5,20,507,0,0,6
27,6,2,New21,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,6,1,0,0,0,12,19,811,1,0,6
27,6,3,Old21,0,0,5,0,0,0,0,0,7,0,0,0,4,2,0,10,3,0,0,0,10,27,485,1,0,6
27,6,4,New21,0,0,4,0,0,0,0,0,8,0,0,3,1,0,2,6,4,0,0,0,12,24,680,0,0,6
27,6,5,Old21,0,0,6,0,0,0,0,0,0,0,0,3,2,0,1,12,5,0,0,0,2,16,482,0,0,6
27,7,1,Old21,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,1,2,0,0,0,1,8,133,0,0,6
27,7,2,New21,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,2,7,0,0,0,0,10,169,0,0,6
27,7,3,Old21,0,0,4,0,0,0,0,0,8,0,0,0,1,0,0,1,2,0,0,0,1,4,163,0,0,6
27,7,4,New21,0,0,1,0,0,0,0,0,6,0,0,1,1,0,0,2,1,0,0,0,4,8,150,0,0,6
27,7,5,Old21,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,1,5,140,0,0,6
27,CF,1,Old21,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,49,0,0,3
27,CF,2,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50,70,0,0,3
27,CF,3,Old21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,20,50,0,0,3
27,CF,4,New21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,118,0,0,3
